Tourist,City,Country
287,Paris,France
288,Malaga,Spain
289,Milan,Italy
290,Paris,France
291,Rome,Italy
292,Budapest,Hungary
293,Milan,Italy
294,Berlin,Germany
295,Paris,France
296,Berlin,Germany
297,Milan,Italy
298,Budapest,Hungary
299,Paris,France
300,Rome,Italy
301,Paris,France
302,Rome,Italy
303,Malaga,Spain
304,Barcelona,Spain
305,Paris,France
306,Paris,France
307,Munich,Germany
308,Budapest,Hungary
309,Munich,Germany
310,Paris,France
311,Munich,Germany
312,Malaga,Spain
313,Vienna,Austria
314,Barcelona,Spain
315,Munich,Germany
316,Berlin,Germany
317,Malaga,Spain
318,Madrid,Spain
319,Barcelona,Spain
320,Rome,Italy
321,Barcelona,Spain
322,Madrid,Spain
323,Paris,France
324,Paris,France
325,Paris,France
326,Malaga,Spain
327,Rome,Italy
328,Paris,France
329,Berlin,Germany
330,Barcelona,Spain
331,Rome,Italy
332,Barcelona,Spain
333,Berlin,Germany
334,Paris,France
335,Barcelona,Spain
336,Malaga,Spain
337,Paris,France
338,Paris,France
339,Malaga,Spain
340,Munich,Germany
341,Madrid,Spain
342,Paris,France
343,Paris,France
344,Rome,Italy
345,Barcelona,Spain
346,Paris,France
347,Milan,Italy
348,Munich,Germany
349,Milan,Italy
350,Amsterdam,Netherlands
351,Barcelona,Spain
352,Paris,France
353,Berlin,Germany
354,Paris,France
355,Barcelona,Spain
356,Milan,Italy
357,Paris,France
358,Malaga,Spain
359,Barcelona,Spain
360,Munich,Germany
361,Barcelona,Spain
362,Paris,France
363,Rome,Italy
364,Milan,Italy
365,Prague,Czech Republic
366,Rome,Italy
367,Rome,Italy
368,Vienna,Austria
369,Malaga,Spain
370,Barcelona,Spain
371,Barcelona,Spain
372,Paris,France
373,Paris,France
374,Paris,France
375,Malaga,Spain
376,Budapest,Hungary
377,Munich,Germany
378,Paris,France
379,Madrid,Spain
380,Milan,Italy
381,Malaga,Spain
382,Paris,France
383,Prague,Czech Republic
384,Rome,Italy
385,Paris,France
386,Paris,France
387,Milan,Italy
388,Paris,France
389,Rome,Italy
390,Barcelona,Spain
391,Barcelona,Spain
392,Paris,France
393,Rome,Italy
394,Barcelona,Spain
395,Berlin,Germany
396,Barcelona,Spain
397,Barcelona,Spain
398,Madrid,Spain
399,Barcelona,Spain
400,Paris,France
401,Rome,Italy
402,Malaga,Spain
403,Amsterdam,Netherlands
404,Rome,Italy
405,Berlin,Germany
406,Rome,Italy
407,Vienna,Austria
408,Barcelona,Spain
409,Munich,Germany
410,Berlin,Germany
411,Rome,Italy
412,Paris,France
413,Rome,Italy
414,Rome,Italy
415,Vienna,Austria
416,Paris,France
417,Rome,Italy
418,Milan,Italy
419,Vienna,Austria
420,Munich,Germany
421,Paris,France
422,Barcelona,Spain
423,Milan,Italy
424,Rome,Italy
425,Munich,Germany
426,Paris,France
427,Paris,France
428,Milan,Italy
429,Barcelona,Spain
430,Rome,Italy
431,Paris,France
432,Rome,Italy
433,Paris,France
434,Rome,Italy
435,Rome,Italy
436,Munich,Germany
437,Paris,France
438,Paris,France
439,Paris,France
440,Barcelona,Spain
441,Paris,France
442,Rome,Italy
443,Barcelona,Spain
444,Milan,Italy
445,Madrid,Spain
446,Barcelona,Spain
447,Malaga,Spain
448,Paris,France
449,Paris,France
450,Barcelona,Spain
451,Berlin,Germany
452,Paris,France
453,Paris,France
454,Paris,France
455,Milan,Italy
456,Barcelona,Spain
457,Paris,France
458,Rome,Italy
459,Paris,France
460,Prague,Czech Republic
461,Paris,France
462,Paris,France
463,Paris,France
464,Barcelona,Spain
465,Rome,Italy
466,Milan,Italy
467,Barcelona,Spain
468,Milan,Italy
469,Madrid,Spain
470,Paris,France
471,Madrid,Spain
472,Munich,Germany
473,Rome,Italy
474,Malaga,Spain
475,Munich,Germany
476,Paris,France
477,Barcelona,Spain
478,Barcelona,Spain
479,Paris,France
480,Barcelona,Spain
481,Madrid,Spain
482,Rome,Italy
483,Berlin,Germany
484,Paris,France
485,Barcelona,Spain
486,Vienna,Austria
487,Barcelona,Spain
488,Madrid,Spain
489,Barcelona,Spain
490,Barcelona,Spain
491,Madrid,Spain
492,Paris,France
493,Vienna,Austria
494,Paris,France
495,Madrid,Spain
496,Paris,France
497,Berlin,Germany
498,Munich,Germany
499,Barcelona,Spain
500,Munich,Germany
501,Barcelona,Spain
502,Berlin,Germany
503,Paris,France
504,Rome,Italy
505,Vienna,Austria
506,Rome,Italy
507,Malaga,Spain
508,Malaga,Spain
509,Malaga,Spain
510,Paris,France
511,Paris,France
512,Madrid,Spain
513,Malaga,Spain
514,Rome,Italy
515,Paris,France
516,Warsaw,Poland
517,Paris,France
518,Paris,France
519,Milan,Italy
520,Paris,France
521,Paris,France
522,Malaga,Spain
523,Milan,Italy
524,Malaga,Spain
525,Madrid,Spain
526,Barcelona,Spain
527,Malaga,Spain
528,Barcelona,Spain
529,Prague,Czech Republic
530,Munich,Germany
531,Rome,Italy
532,Paris,France
533,Rome,Italy
534,Rome,Italy
535,Milan,Italy
536,Berlin,Germany
537,Paris,France
538,Paris,France
539,Rome,Italy
540,Zurich,Switzerland
541,Prague,Czech Republic
542,Berlin,Germany
543,Paris,France
544,Munich,Germany
545,Vienna,Austria
546,Paris,France
547,Rome,Italy
548,Berlin,Germany
549,Milan,Italy
550,Paris,France
551,Madrid,Spain
552,Milan,Italy
553,Paris,France
554,Paris,France
555,Barcelona,Spain
556,Paris,France
557,Milan,Italy
558,Barcelona,Spain
559,Barcelona,Spain
560,Rome,Italy
561,Paris,France
562,Malaga,Spain
563,Budapest,Hungary
564,Madrid,Spain
565,Munich,Germany
566,Berlin,Germany
567,Barcelona,Spain
568,Paris,France
569,Berlin,Germany
570,Milan,Italy
571,Paris,France
572,Paris,France
573,Paris,France
574,Paris,France
575,Prague,Czech Republic
576,Paris,France
577,Vienna,Austria
578,Barcelona,Spain
579,Milan,Italy
580,Warsaw,Poland
581,Barcelona,Spain
582,Malaga,Spain
583,Berlin,Germany
584,Milan,Italy
585,Rome,Italy
586,Barcelona,Spain
587,Zurich,Switzerland
588,Madrid,Spain
589,Barcelona,Spain
590,Milan,Italy
591,Paris,France
592,Milan,Italy
593,Budapest,Hungary
594,Rome,Italy
595,Vienna,Austria
596,Munich,Germany
597,Vienna,Austria
598,Munich,Germany
599,Paris,France
600,Paris,France
601,Malaga,Spain
602,Rome,Italy
603,Berlin,Germany
604,Munich,Germany
605,Rome,Italy
606,Prague,Czech Republic
607,Malaga,Spain
608,Paris,France
609,Paris,France
610,Munich,Germany
611,Barcelona,Spain
612,Rome,Italy
613,Malaga,Spain
614,Malaga,Spain
615,Barcelona,Spain
616,Malaga,Spain
617,Barcelona,Spain
618,Paris,France
619,Madrid,Spain
620,Paris,France
621,Munich,Germany
622,Paris,France
623,Vienna,Austria
624,Barcelona,Spain
625,Barcelona,Spain
626,Milan,Italy
627,Barcelona,Spain
628,Paris,France
629,Rome,Italy
630,Milan,Italy
631,Munich,Germany
632,Rome,Italy
633,Paris,France
634,Vienna,Austria
635,Rome,Italy
636,Barcelona,Spain
637,Barcelona,Spain
638,Munich,Germany
639,Barcelona,Spain
640,Paris,France
641,Paris,France
642,Paris,France
643,Barcelona,Spain
644,Vienna,Austria
645,Paris,France
646,Paris,France
647,Rome,Italy
648,Vienna,Austria
649,Madrid,Spain
650,Berlin,Germany
651,Paris,France
652,Barcelona,Spain
653,Rome,Italy
654,Paris,France
655,Milan,Italy
656,Rome,Italy
657,Barcelona,Spain
658,Rome,Italy
659,Barcelona,Spain
660,Rome,Italy
661,Paris,France
662,Paris,France
663,Barcelona,Spain
664,Vienna,Austria
665,Barcelona,Spain
666,Barcelona,Spain
667,Rome,Italy
668,Malaga,Spain
669,Paris,France
670,Barcelona,Spain
671,Paris,France
672,Berlin,Germany
673,Berlin,Germany
674,Paris,France
675,Malaga,Spain
676,Paris,France
677,Milan,Italy
678,Paris,France
679,Barcelona,Spain
680,Paris,France
681,Berlin,Germany
682,Paris,France
683,Rome,Italy
684,Milan,Italy
685,Milan,Italy
686,Rome,Italy
687,Rome,Italy
688,Barcelona,Spain
689,Paris,France
690,Berlin,Germany
691,Paris,France
692,Paris,France
693,Vienna,Austria
694,Rome,Italy
695,Vienna,Austria
696,Vienna,Austria
697,Milan,Italy
698,Paris,France
699,Paris,France
700,Berlin,Germany
701,Barcelona,Spain
702,Berlin,Germany
703,Paris,France
704,Malaga,Spain
705,Munich,Germany
706,Rome,Italy
707,Malaga,Spain
708,Rome,Italy
709,Milan,Italy
710,Milan,Italy
711,Amsterdam,Netherlands
712,Barcelona,Spain
713,Paris,France
714,Malaga,Spain
715,Berlin,Germany
716,Malaga,Spain
717,Paris,France
718,Rome,Italy
719,Paris,France
720,Vienna,Austria
721,Berlin,Germany
722,Barcelona,Spain
723,Barcelona,Spain
724,Malaga,Spain
725,Rome,Italy
726,Paris,France
727,Paris,France
728,Paris,France
729,Milan,Italy
730,Zurich,Switzerland
731,Malaga,Spain
732,Paris,France
733,Paris,France
734,Vienna,Austria
735,Rome,Italy
736,Rome,Italy
737,Barcelona,Spain
738,Madrid,Spain
739,Munich,Germany
740,Paris,France
741,Barcelona,Spain
742,Zurich,Switzerland
743,Malaga,Spain
744,Madrid,Spain
745,Amsterdam,Netherlands
746,Munich,Germany
747,Barcelona,Spain
748,Rome,Italy
749,Berlin,Germany
750,Paris,France
751,Malaga,Spain
752,Madrid,Spain
753,Munich,Germany
754,Rome,Italy
755,Milan,Italy
756,Budapest,Hungary
757,Berlin,Germany
758,Berlin,Germany
759,Rome,Italy
760,Rome,Italy
761,Barcelona,Spain
762,Berlin,Germany
763,Barcelona,Spain
764,Berlin,Germany
765,Berlin,Germany
766,Paris,France
767,Warsaw,Poland
768,Munich,Germany
769,Rome,Italy
770,Paris,France
771,Paris,France
772,Rome,Italy
773,Rome,Italy
774,Malaga,Spain
775,Rome,Italy
776,Milan,Italy
777,Milan,Italy
778,Rome,Italy
779,Munich,Germany
780,Malaga,Spain
781,Rome,Italy
782,Vienna,Austria
783,Madrid,Spain
784,Malaga,Spain
785,Rome,Italy
786,Rome,Italy
787,Zurich,Switzerland
788,Barcelona,Spain
789,Rome,Italy
790,Milan,Italy
791,Munich,Germany
792,Barcelona,Spain
793,Paris,France
794,Munich,Germany
795,Rome,Italy
796,Munich,Germany
797,Paris,France
798,Malaga,Spain
799,Munich,Germany
800,Paris,France
801,Zurich,Switzerland
802,Prague,Czech Republic
803,Paris,France
804,Munich,Germany
805,Rome,Italy
806,Madrid,Spain
807,Barcelona,Spain
808,Barcelona,Spain
809,Milan,Italy
810,Rome,Italy
811,Rome,Italy
812,Zurich,Switzerland
813,Vienna,Austria
814,Malaga,Spain
815,Prague,Czech Republic
816,Paris,France
817,Paris,France
818,Malaga,Spain
819,Berlin,Germany
820,Berlin,Germany
821,Berlin,Germany
822,Barcelona,Spain
823,Milan,Italy
824,Rome,Italy
825,Barcelona,Spain
826,Paris,France
827,Amsterdam,Netherlands
828,Milan,Italy
829,Barcelona,Spain
830,Madrid,Spain
831,Paris,France
832,Vienna,Austria
833,Rome,Italy
834,Paris,France
835,Milan,Italy
836,Madrid,Spain
837,Paris,France
838,Barcelona,Spain
839,Vienna,Austria
840,Barcelona,Spain
841,Paris,France
842,Milan,Italy
843,Paris,France
844,Rome,Italy
845,Berlin,Germany
846,Barcelona,Spain
847,Malaga,Spain
848,Milan,Italy
849,Berlin,Germany
850,Malaga,Spain
851,Paris,France
852,Barcelona,Spain
853,Paris,France
854,Paris,France
855,Paris,France
856,Berlin,Germany
857,Rome,Italy
858,Paris,France
859,Madrid,Spain
860,Barcelona,Spain
861,Paris,France
862,Prague,Czech Republic
863,Paris,France
864,Vienna,Austria
865,Milan,Italy
866,Paris,France
867,Munich,Germany
868,Barcelona,Spain
869,Barcelona,Spain
870,Barcelona,Spain
871,Paris,France
872,Madrid,Spain
873,Malaga,Spain
874,Barcelona,Spain
875,Paris,France
876,Munich,Germany
877,Paris,France
878,Barcelona,Spain
879,Barcelona,Spain
880,Paris,France
881,Paris,France
882,Vienna,Austria
883,Paris,France
884,Rome,Italy
885,Rome,Italy
886,Vienna,Austria
887,Malaga,Spain
888,Malaga,Spain
889,Rome,Italy
890,Barcelona,Spain
891,Paris,France
892,Paris,France
893,Berlin,Germany
894,Paris,France
895,Rome,Italy
896,Berlin,Germany
897,Paris,France
898,Paris,France
899,Budapest,Hungary
900,Milan,Italy
901,Rome,Italy
902,Malaga,Spain
903,Paris,France
904,Paris,France
905,Barcelona,Spain
906,Paris,France
907,Malaga,Spain
908,Barcelona,Spain
909,Zurich,Switzerland
910,Munich,Germany
911,Malaga,Spain
912,Barcelona,Spain
913,Paris,France
914,Milan,Italy
915,Paris,France
916,Rome,Italy
917,Milan,Italy
918,Amsterdam,Netherlands
919,Malaga,Spain
920,Paris,France
921,Paris,France
922,Malaga,Spain
923,Barcelona,Spain
924,Rome,Italy
925,Paris,France
926,Paris,France
927,Paris,France
928,Rome,Italy
929,Paris,France
930,Rome,Italy
931,Berlin,Germany
932,Vienna,Austria
933,Budapest,Hungary
934,Paris,France
935,Paris,France
936,Barcelona,Spain
937,Barcelona,Spain
938,Malaga,Spain
939,Paris,France
940,Rome,Italy
941,Barcelona,Spain
942,Paris,France
943,Barcelona,Spain
944,Paris,France
945,Zurich,Switzerland
946,Munich,Germany
947,Berlin,Germany
948,Milan,Italy
949,Barcelona,Spain
950,Rome,Italy
951,Prague,Czech Republic
952,Malaga,Spain
953,Milan,Italy
954,Paris,France
955,Barcelona,Spain
956,Paris,France
957,Paris,France
958,Madrid,Spain
959,Prague,Czech Republic
960,Malaga,Spain
961,Barcelona,Spain
962,Barcelona,Spain
963,Milan,Italy
964,Milan,Italy
965,Rome,Italy
966,Rome,Italy
967,Berlin,Germany
968,Malaga,Spain
969,Munich,Germany
970,Paris,France
971,Barcelona,Spain
972,Rome,Italy
973,Milan,Italy
974,Paris,France
975,Vienna,Austria
976,Milan,Italy
977,Warsaw,Poland
978,Milan,Italy
979,Paris,France
980,Berlin,Germany
981,Prague,Czech Republic
982,Warsaw,Poland
983,Rome,Italy
984,Paris,France
985,Rome,Italy
986,Barcelona,Spain
987,Barcelona,Spain
988,Paris,France
989,Madrid,Spain
990,Rome,Italy
991,Vienna,Austria
992,Vienna,Austria
993,Paris,France
994,Berlin,Germany
995,Barcelona,Spain
996,Paris,France
997,Paris,France
998,Rome,Italy
999,Berlin,Germany
1000,Barcelona,Spain
1001,Paris,France
1002,Barcelona,Spain
1003,Munich,Germany
1004,Milan,Italy
1005,Amsterdam,Netherlands
1006,Milan,Italy
1007,Berlin,Germany
1008,Paris,France
1009,Barcelona,Spain
1010,Barcelona,Spain
1011,Rome,Italy
1012,Barcelona,Spain
1013,Paris,France
1014,Paris,France
1015,Malaga,Spain
1016,Barcelona,Spain
1017,Paris,France
1018,Milan,Italy
1019,Berlin,Germany
1020,Rome,Italy
1021,Rome,Italy
1022,Paris,France
1023,Munich,Germany
1024,Munich,Germany
1025,Paris,France
1026,Rome,Italy
1027,Barcelona,Spain
1028,Paris,France
1029,Malaga,Spain
1030,Paris,France
1031,Barcelona,Spain
1032,Paris,France
1033,Munich,Germany
1034,Barcelona,Spain
1035,Vienna,Austria
1036,Berlin,Germany
1037,Milan,Italy
1038,Paris,France
1039,Munich,Germany
1040,Paris,France
1041,Prague,Czech Republic
1042,Barcelona,Spain
1043,Paris,France
1044,Malaga,Spain
1045,Rome,Italy
1046,Paris,France
1047,Vienna,Austria
1048,Paris,France
1049,Rome,Italy
1050,Berlin,Germany
1051,Prague,Czech Republic
1052,Paris,France
1053,Barcelona,Spain
1054,Paris,France
1055,Rome,Italy
1056,Rome,Italy
1057,Paris,France
1058,Zurich,Switzerland
1059,Berlin,Germany
1060,Madrid,Spain
1061,Warsaw,Poland
1062,Barcelona,Spain
1063,Malaga,Spain
1064,Rome,Italy
1065,Berlin,Germany
1066,Barcelona,Spain
1067,Milan,Italy
1068,Malaga,Spain
1069,Amsterdam,Netherlands
1070,Madrid,Spain
1071,Warsaw,Poland
1072,Berlin,Germany
1073,Milan,Italy
1074,Paris,France
1075,Munich,Germany
1076,Milan,Italy
1077,Madrid,Spain
1078,Barcelona,Spain
1079,Barcelona,Spain
1080,Barcelona,Spain
1081,Berlin,Germany
1082,Malaga,Spain
1083,Malaga,Spain
1084,Malaga,Spain
1085,Rome,Italy
1086,Rome,Italy
1087,Munich,Germany
1088,Malaga,Spain
1089,Warsaw,Poland
1090,Barcelona,Spain
1091,Madrid,Spain
1092,Rome,Italy
1093,Vienna,Austria
1094,Malaga,Spain
1095,Rome,Italy
1096,Rome,Italy
1097,Milan,Italy
1098,Paris,France
1099,Paris,France
1100,Barcelona,Spain
1101,Malaga,Spain
1102,Barcelona,Spain
1103,Milan,Italy
1104,Paris,France
1105,Paris,France
1106,Barcelona,Spain
1107,Barcelona,Spain
1108,Barcelona,Spain
1109,Rome,Italy
1110,Munich,Germany
1111,Barcelona,Spain
1112,Rome,Italy
1113,Paris,France
1114,Paris,France
1115,Paris,France
1116,Barcelona,Spain
1117,Barcelona,Spain
1118,Milan,Italy
1119,Malaga,Spain
1120,Malaga,Spain
1121,Madrid,Spain
1122,Paris,France
1123,Munich,Germany
1124,Rome,Italy
1125,Barcelona,Spain
1126,Rome,Italy
1127,Paris,France
1128,Barcelona,Spain
1129,Paris,France
1130,Paris,France
1131,Malaga,Spain
1132,Paris,France
1133,Milan,Italy
1134,Malaga,Spain
1135,Paris,France
1136,Barcelona,Spain
1137,Munich,Germany
1138,Barcelona,Spain
1139,Paris,France
1140,Paris,France
1141,Rome,Italy
1142,Prague,Czech Republic
1143,Madrid,Spain
1144,Malaga,Spain
1145,Rome,Italy
1146,Paris,France
1147,Rome,Italy
1148,Paris,France
1149,Paris,France
1150,Barcelona,Spain
1151,Paris,France
1152,Prague,Czech Republic
1153,Milan,Italy
1154,Amsterdam,Netherlands
1155,Rome,Italy
1156,Barcelona,Spain
1157,Rome,Italy
1158,Paris,France
1159,Rome,Italy
1160,Madrid,Spain
1161,Barcelona,Spain
1162,Milan,Italy
1163,Madrid,Spain
1164,Berlin,Germany
1165,Barcelona,Spain
1166,Berlin,Germany
1167,Munich,Germany
1168,Paris,France
1169,Paris,France
1170,Malaga,Spain
1171,Madrid,Spain
1172,Barcelona,Spain
1173,Paris,France
1174,Munich,Germany
1175,Paris,France
1176,Paris,France
1177,Milan,Italy
1178,Paris,France
1179,Malaga,Spain
1180,Malaga,Spain
1181,Rome,Italy
1182,Munich,Germany
1183,Paris,France
1184,Paris,France
1185,Paris,France
1186,Rome,Italy
1187,Paris,France
1188,Zurich,Switzerland
1189,Paris,France
1190,Paris,France
1191,Paris,France
1192,Berlin,Germany
1193,Rome,Italy
1194,Munich,Germany
1195,Paris,France
1196,Malaga,Spain
1197,Barcelona,Spain
1198,Paris,France
1199,Berlin,Germany
1200,Paris,France
1201,Barcelona,Spain
1202,Paris,France
1203,Milan,Italy
1204,Milan,Italy
1205,Madrid,Spain
1206,Barcelona,Spain
1207,Barcelona,Spain
1208,Amsterdam,Netherlands
1209,Barcelona,Spain
1210,Rome,Italy
1211,Rome,Italy
1212,Paris,France
1213,Paris,France
1214,Barcelona,Spain
1215,Barcelona,Spain
1216,Madrid,Spain
1217,Barcelona,Spain
1218,Paris,France
1219,Paris,France
1220,Milan,Italy
1221,Vienna,Austria
1222,Barcelona,Spain
1223,Rome,Italy
1224,Barcelona,Spain
1225,Rome,Italy
1226,Milan,Italy
1227,Milan,Italy
1228,Rome,Italy
1229,Vienna,Austria
1230,Paris,France
1231,Rome,Italy
1232,Warsaw,Poland
1233,Barcelona,Spain
1234,Barcelona,Spain
1235,Barcelona,Spain
1236,Paris,France
1237,Rome,Italy
1238,Barcelona,Spain
1239,Barcelona,Spain
1240,Barcelona,Spain
1241,Milan,Italy
1242,Barcelona,Spain
1243,Munich,Germany
1244,Paris,France
1245,Paris,France
1246,Barcelona,Spain
1247,Barcelona,Spain
1248,Barcelona,Spain
1249,Malaga,Spain
1250,Milan,Italy
1251,Paris,France
1252,Rome,Italy
1253,Berlin,Germany
1254,Milan,Italy
1255,Paris,France
1256,Rome,Italy
1257,Paris,France
1258,Malaga,Spain
1259,Madrid,Spain
1260,Rome,Italy
1261,Milan,Italy
1262,Barcelona,Spain
1263,Vienna,Austria
1264,Berlin,Germany
1265,Berlin,Germany
1266,Paris,France
1267,Munich,Germany
1268,Malaga,Spain
1269,Vienna,Austria
1270,Paris,France
1271,Paris,France
1272,Barcelona,Spain
1273,Rome,Italy
1274,Munich,Germany
1275,Vienna,Austria
1276,Berlin,Germany
1277,Paris,France
1278,Madrid,Spain
1279,Berlin,Germany
1280,Rome,Italy
1281,Paris,France
1282,Barcelona,Spain
1283,Paris,France
1284,Munich,Germany
1285,Rome,Italy
1286,Rome,Italy
1287,Malaga,Spain
1288,Paris,France
1289,Barcelona,Spain
1290,Barcelona,Spain
1291,Rome,Italy
1292,Vienna,Austria
1293,Paris,France
1294,Paris,France
1295,Rome,Italy
1296,Madrid,Spain
1297,Malaga,Spain
1298,Paris,France
1299,Rome,Italy
1300,Prague,Czech Republic
1301,Berlin,Germany
1302,Malaga,Spain
1303,Barcelona,Spain
1304,Paris,France
1305,Paris,France
1306,Berlin,Germany
1307,Paris,France
1308,Paris,France
1309,Milan,Italy
1310,Rome,Italy
1311,Barcelona,Spain
1312,Rome,Italy
1313,Milan,Italy
1314,Paris,France
1315,Paris,France
1316,Paris,France
1317,Paris,France
1318,Prague,Czech Republic
1319,Paris,France
1320,Budapest,Hungary
1321,Barcelona,Spain
1322,Rome,Italy
1323,Berlin,Germany
1324,Rome,Italy
1325,Paris,France
1326,Zurich,Switzerland
1327,Vienna,Austria
1328,Paris,France
1329,Paris,France
1330,Rome,Italy
1331,Berlin,Germany
1332,Munich,Germany
